#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
07CEB234STA	07CEB234STA_1	1550414	1551292	isdE	1-879/879	===============	0/0	100.00	99.77	vfdb	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
07CEB234STA	07CEB234STA_1	1551289	1552365	isdD	1-1077/1077	===============	0/0	100.00	98.51	vfdb	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1552365	1553048	isdC	1-684/684	===============	0/0	100.00	97.95	vfdb	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
07CEB234STA	07CEB234STA_1	1553257	1554321	isdA	1-1053/1053	========/======	1/12	100.00	95.68	vfdb	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
07CEB234STA	07CEB234STA_1	1554524	1556458	isdB	1-1938/1938	========/======	1/3	99.85	96.65	vfdb	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
07CEB234STA	07CEB234STA_1	1638504	1639496	sspA	1-984/984	========/======	1/9	100.00	94.97	vfdb	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1639578	1640759	sspB	1-1182/1182	===============	0/0	100.00	99.15	vfdb	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1640797	1641126	sspC	1-330/330	===============	0/0	100.00	99.39	vfdb	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2046641	2048170	aur	1-1530/1530	===============	0/0	100.00	99.35	vfdb	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2089155	2089715	icaR	1-561/561	===============	0/0	100.00	99.29	vfdb	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2089879	2091117	icaA	1-1239/1239	===============	0/0	100.00	99.35	vfdb	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2091081	2091386	icaD	1-306/306	===============	0/0	100.00	99.67	vfdb	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2091383	2092255	icaB	1-873/873	===============	0/0	100.00	99.54	vfdb	NP_647405	(icaB) N-deacetylase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2092242	2093294	icaC	1-1053/1053	===============	0/0	100.00	99.14	vfdb	NP_647406	(icaC) intercellular adhesion protein C involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2093686	2095731	lip	1-2046/2046	===============	0/0	100.00	99.02	vfdb	NP_647407	(lip) triacylglycerol lipase precursor [Lipase (CVF091)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2165556	2167874	adsA	1-2319/2319	===============	0/0	100.00	96.68	vfdb	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2519286	2521217	geh	1-1932/2073	========/======	2/6	93.05	98.14	vfdb	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2549693	2550007	esxB	1-315/315	===============	0/0	100.00	99.05	vfdb	NP_645082	(esxB) type VII secretion system protein secreted protein EsxB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2550023	2550415	esaC	1-393/393	===============	0/0	100.00	98.73	vfdb	NP_645081	(esaC) type VII secretion system protein secreted protein EsxC [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2550445	2554884	essC	1-4440/4440	===============	0/0	100.00	99.03	vfdb	NP_645079	(essC) type VII secretion system protein EssC FtsK/SpoIIIE family ATPase [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2554906	2556240	essB	1-1335/1335	===============	0/0	100.00	99.55	vfdb	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2556253	2556495	esaB	1-243/243	===============	0/0	100.00	100.00	vfdb	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2556467	2556925	essA	1-459/459	===============	0/0	100.00	99.78	vfdb	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2556925	2559954	esaA	1-3030/3030	===============	0/0	100.00	98.78	vfdb	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2560037	2560330	esxA	1-294/294	===============	0/0	100.00	99.32	vfdb	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2698354	2699499	cap8P	1-1146/1146	===============	0/0	100.00	98.95	vfdb	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2699576	2700838	cap8O	1-1263/1263	===============	0/0	100.00	99.05	vfdb	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2700892	2701779	cap8N	1-888/888	===============	0/0	100.00	97.97	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2701779	2702336	cap8M	1-558/558	===============	0/0	100.00	98.92	vfdb	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2702347	2703552	cap8L	1-1206/1206	===============	0/0	100.00	98.09	vfdb	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2703586	2704824	cap8K	1-1239/1239	===============	0/0	100.00	98.79	vfdb	NP_644949	(cap8K) capsular polysaccharide synthesis enzyme Cap8K [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2704833	2705390	cap8J	1-558/558	===============	0/0	100.00	99.10	vfdb	NP_644948	(cap8J) capsular polysaccharide synthesis enzyme Cap8J [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2705387	2706781	cap8I	1-1395/1395	===============	0/0	100.00	99.14	vfdb	NP_644947	(cap8I) capsular polysaccharide synthesis enzyme Cap8I [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2706774	2707853	cap8H	1-1080/1080	===============	0/0	100.00	99.26	vfdb	NP_644946	(cap8H) capsular polysaccharide synthesis enzyme Cap8H [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2707856	2708980	cap8G	1-1125/1125	===============	0/0	100.00	99.20	vfdb	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2708984	2710093	cap8F	1-1110/1110	===============	0/0	100.00	97.75	vfdb	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2710106	2711134	cap8E	1-1029/1029	===============	0/0	100.00	98.93	vfdb	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2711124	2712947	cap8D	1-1824/1824	===============	0/0	100.00	99.40	vfdb	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2712967	2713731	cap8C	1-765/765	===============	0/0	100.00	99.61	vfdb	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2713734	2714420	cap8B	1-687/687	===============	0/0	100.00	96.36	vfdb	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	2714588	2715104	cap8A	1-516/516	========/======	1/1	100.00	98.65	vfdb	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
