#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
09CEB303STA	09CEB303STA_8	171382	171675	esxA	1-294/294	===============	0/0	100.00	100.00	vfdb	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	171759	174788	esaA	1-3030/3030	===============	0/0	100.00	99.14	vfdb	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	174788	175246	essA	1-459/459	===============	0/0	100.00	99.78	vfdb	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	175218	175460	esaB	1-243/243	===============	0/0	100.00	100.00	vfdb	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	175473	176807	essB	1-1335/1335	===============	0/0	100.00	99.92	vfdb	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	176829	181268	essC	1-4440/4440	===============	0/0	100.00	98.69	vfdb	NP_645079	(essC) type VII secretion system protein EssC FtsK/SpoIIIE family ATPase [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	181298	181690	esaC	1-393/393	===============	0/0	100.00	98.73	vfdb	NP_645081	(esaC) type VII secretion system protein secreted protein EsxC [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	181706	182020	esxB	1-315/315	===============	0/0	100.00	99.36	vfdb	NP_645082	(esxB) type VII secretion system protein secreted protein EsxB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	212556	214628	geh	1-2073/2073	===============	0/0	100.00	99.66	vfdb	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	443946	446263	sdrC	1-2318/2868	=============..	0/0	80.82	96.29	vfdb	NP_645333	(sdrC) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	461342	464654	sdrD	329-3627/4044	.=======/=====.	14/40	81.26	96.00	vfdb	NP_645334	(sdrD) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	703959	706280	clfA	1-2345/2841	========/====..	7/35	81.52	92.94	vfdb	NP_645581	(clfA) Clumping factor A fibrinogen-binding protein [Clumping factor (VF0004)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	706727	708253	vWbp	1-1527/1527	===============	0/0	100.00	100.00	vfdb	YP_001331791	(vWbp) secreted von Willebrand factor-binding protein precursor [vWbp (VF0420)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	868445	868774	sspC	1-330/330	===============	0/0	100.00	99.70	vfdb	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	868812	869993	sspB	1-1182/1182	===============	0/0	100.00	99.07	vfdb	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	870075	871085	sspA	1-984/984	========/======	1/27	100.00	96.44	vfdb	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	952821	954758	isdB	1-1938/1938	===============	0/0	100.00	100.00	vfdb	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	954961	956013	isdA	1-1053/1053	===============	0/0	100.00	100.00	vfdb	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	956222	956905	isdC	1-684/684	===============	0/0	100.00	100.00	vfdb	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	956905	957981	isdD	1-1077/1077	===============	0/0	100.00	99.81	vfdb	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	957978	958856	isdE	1-879/879	===============	0/0	100.00	100.00	vfdb	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	958869	959834	isdF	1-966/966	===============	0/0	100.00	99.69	vfdb	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	959896	960630	srtB	1-735/735	===============	0/0	100.00	99.59	vfdb	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	960649	960972	isdG	1-324/324	===============	0/0	100.00	100.00	vfdb	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	986893	987852	hly/hla	1-960/960	===============	0/0	100.00	99.48	vfdb	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	1365806	1367266	ebp	1-1461/1461	===============	0/0	100.00	98.02	vfdb	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	1859715	1861469	map	1-1755/1755	===============	0/0	100.00	99.60	vfdb	CAB94853	(map) extracellular proteins Map [Eap/Map (VF0016)] [Staphylococcus aureus str. Newman D2C (ATCC 25904)]
09CEB303STA	09CEB303STA_8	1863230	1863580	scn	1-351/351	===============	0/0	100.00	99.72	vfdb	YP_001332910	(scn) complement inhibitor SCIN [SCIN (VF0425)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	1864263	1864712	chp	1-450/450	===============	0/0	100.00	99.78	vfdb	YP_001332911	(chp) chemotaxis-inhibiting protein CHIPS [CHIPS (VF0424)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB303STA	09CEB303STA_8	1865792	1866283	sak	1-492/492	===============	0/0	100.00	99.39	vfdb	NP_646702	(sak) Staphylokinase precursor [Staphylokinase (VF0021)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	1906166	1906989	hlb	170-993/993	..=============	0/0	82.98	100.00	vfdb	YP_186826	(hlb) beta-hemolysin [<beta>-hemolysin (VF0002)] [Staphylococcus aureus subsp. aureus COL]
09CEB303STA	09CEB303STA_8	1924959	1925093	hld	1-135/135	===============	0/0	100.00	99.26	vfdb	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2103650	2106064	hysA	1-2418/2448	========/======	5/9	98.53	90.58	vfdb	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2305682	2306992	sbi	1-1314/1314	========/======	1/3	99.77	97.87	vfdb	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2307528	2308457	hlgA	1-930/930	===============	0/0	100.00	99.36	vfdb	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2309025	2309972	hlgC	1-948/948	===============	0/0	100.00	99.47	vfdb	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2309974	2310951	hlgB	1-978/978	===============	0/0	100.00	99.80	vfdb	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2548383	2549912	aur	1-1530/1530	===============	0/0	100.00	99.61	vfdb	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2590158	2590718	icaR	1-561/561	===============	0/0	100.00	100.00	vfdb	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2590882	2592120	icaA	1-1239/1239	===============	0/0	100.00	99.92	vfdb	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2592084	2592389	icaD	1-306/306	===============	0/0	100.00	100.00	vfdb	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2592386	2593258	icaB	1-873/873	===============	0/0	100.00	100.00	vfdb	NP_647405	(icaB) N-deacetylase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2593245	2594297	icaC	1-1053/1053	===============	0/0	100.00	100.00	vfdb	NP_647406	(icaC) intercellular adhesion protein C involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2594744	2596789	lip	1-2046/2046	===============	0/0	100.00	100.00	vfdb	NP_647407	(lip) triacylglycerol lipase precursor [Lipase (CVF091)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2668067	2670385	adsA	1-2319/2319	===============	0/0	100.00	96.72	vfdb	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
09CEB303STA	09CEB303STA_8	2710491	2711945	spa	1-1479/1479	========/======	1/24	98.38	96.35	vfdb	NP_644899	(spa) Immunoglobulin G binding protein A precursor [SpA (VF0017)] [Staphylococcus aureus subsp. aureus MW2]
